                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.232,                 3.8912,                 1.2701,                0.94689,                0.96296,                0.98119,                  0.721,                0.94398,                 0.8081,                 1.0082,             3.9006e-05,             3.9006e-05,             3.9006e-05
                      2,                 1.0504,                0.69086,                 1.0677,                0.99631,                0.98201,                 0.9935,                0.75033,                0.91197,                0.46754,                0.99288,             3.9729e-05,             3.9729e-05,             3.9729e-05
